Name,City,State,Tags,Shakespeare Productions,Annual Productions,Budget,Founded,Select,URL
The New American Shakespeare Tavern,Atlanta,GA - Georgia,,"Untitled (https://www.notion.so/a568186f8c824da0b245777ab7789fbf?pvs=21), Untitled (https://www.notion.so/bcb03b68a4c14855874719678e19f7b2?pvs=21)",,,,,
Hawaii Shakespeare Festival,Honolulu,HI - Hawaii,,"Untitled (https://www.notion.so/fa3aa69b5b0f4baeb2be6aab176b567a?pvs=21), Untitled (https://www.notion.so/4744d81852894f4b8ff49971de4cc31b?pvs=21), Untitled (https://www.notion.so/11d3a1cd3591431f8910192ab4c5916c?pvs=21)",,,,,
Idaho Shakespeare Festival,Boise,ID - Idaho,,Untitled (https://www.notion.so/de203d837e7d41509bb8518fff0936b6?pvs=21),,,,,
ShakespeareMachine,Fort Wayne,IL - Illinois,,,,,,,
All For One Productions,Fort Wayne,IL - Illinois,,,,,,,
First Folio Theatre,Oak Brook,IL - Illinois,,,,,,,
Theatre Y,Chicago,IL - Illinois,,,,,,,https://theatre-y.com
Lifeline Theatre,Chicago,IL - Illinois,,,,,,,https://lifeline.org
Babes with Blades Theatre Company,Chicago,IL - Illinois,,,,,,,
Midsommer Flight,Chicago,IL - Illinois,,,,,,,
The Shakespeare Project,Chicago,IL - Illinois,,,,,,,
Writers Theatre,Glencoe,IL - Illinois,,"Untitled (https://www.notion.so/a605cfafb25c4cd185b8dc68042eddcb?pvs=21), Untitled (https://www.notion.so/5a5dc13d82124f88a428dcc29d42154f?pvs=21), Untitled (https://www.notion.so/ab57b414432c49d5921c3a8c3dd45b49?pvs=21)",,,,,
Illinois Shakespeare Festival,Bloomington,IL - Illinois,,"Untitled (https://www.notion.so/b9c7406f629b4f948894bb85e9f8db51?pvs=21), Untitled (https://www.notion.so/6ffdb26f036a460a8ca6e62d221b2abd?pvs=21)",,,,,
Chicago Shakespeare Theater,Chicago,IL - Illinois,,"Untitled (https://www.notion.so/6126edbb76574af3b4b45ae59659d82b?pvs=21), Untitled (https://www.notion.so/80b3d3659ae34ec29088ba10faa97cd7?pvs=21), Untitled (https://www.notion.so/46eba864ca7e4365ae8e45a65725fbde?pvs=21), Untitled (https://www.notion.so/65450699476b4efbae9a0d411decbb5e?pvs=21)",,,,,
Bard Fest,Indianapolis,IN - Indiana,,,,,,,
Shakespeare at Notre Dame,Notre Dame,IN - Indiana,,,,,,,
Hoosier Shakespeare Festival,Marion,IN - Indiana,,,,,,,
Indiana Shakespeare Festival,Bloomington,IN - Indiana,,,,,,,
Riverside Theatre in the Park,Iowa City,IA - Iowa,,,,,,,
PrenziePlayers,Davenport,IA - Iowa,,,,,,,https://prenzieplayers.com
Iowa Shakespeare Experience,Iowa City,IA - Iowa,,,,,,,
Kansas City Shakespeare Festival,Kansas City,KS - Kansas,,,,,,,
Shakespeare Behind Bars,Louisville,KY - Kentucky,,,,,,,
Commonwealth Theatre Center,Louisville,KY - Kentucky,,,,,,,
The Bard’s Town,Louisville,KY - Kentucky,,,,,,,
Kentucky Shakespeare Festival,Louisville,KY - Kentucky,,,,,,,
New Orleanes Shakespeare Festival,New Orleanes,LA - Loisiana,,,,,,,
Theatre at Monmouth,Monmouth,ME - Maine,,,,,,,
Maine Shakespeare Festival,Portland,ME - Maine,,,,,,,
Unexpected Stage Company,Wheaton,MD - Maryland,,,,,,,
Sesquehanna Shakespeare Ensemble,North East,MD - Maryland,,,,,,,
Maryland Shakespeare Festival,Frederick,MD - Maryland,,,,,,,
Roundhouse Theatre,Bethesda,MD - Maryland,,,,,,,https://roundhouse.org
4615 Theatre Company,Bethesda,MD - Maryland,,,,,,,
Everyman Theatre,Baltimore,MD - Maryland,,,,,,,https://everyman.org
Baltimore Shakespeare Factory,Baltimore,MD - Maryland,,,,,,,
Olney Theatre Center,Olney,MD - Maryland,,Untitled (https://www.notion.so/6f949c1bd67642bc907dbed04c5ac2e5?pvs=21),,,,,
